dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
UWaveGestureLibraryX,mps_hydra,42,896,3582,315,8,4.041275124996901,52.90393599999993,0.8565047459519821,0.852190030296629,0.8536132125367122,ok,,
UWaveGestureLibraryY,mps_hydra,42,896,3582,315,8,3.970140958990669,-663.5683839999999,0.7948073701842546,0.792571986998662,0.7924340652034377,ok,,
UWaveGestureLibraryZ,mps_hydra,42,896,3582,315,8,3.965536625008099,2.228224000000182,0.7964824120603015,0.7923501009738885,0.7913523793391359,ok,,
Wafer,mps_hydra,42,1000,6164,152,2,2.8554160420026165,308.55987200000004,1.0,1.0,1.0,ok,,
Wine,mps_hydra,42,57,54,234,2,0.4043333749868907,42.25433599999997,0.8888888888888888,0.8888888888888888,0.8888888888888888,ok,,
WordSynonyms,mps_hydra,42,267,638,270,25,0.9957209159911145,84.68889600000011,0.7445141065830722,0.6150125039719267,0.722018848122313,ok,,
Worms,mps_hydra,42,181,77,900,5,1.0979025000124238,38.78092800000013,0.7402597402597403,0.720915833025422,0.729532764572793,ok,,
WormsTwoClass,mps_hydra,42,181,77,900,2,0.7709139579965267,0.3112959999998566,0.7662337662337663,0.7629958960328318,0.766953292945085,ok,,
Yoga,mps_hydra,42,300,3000,426,2,3.9620539589959662,26.656768000000056,0.9326666666666666,0.9322754898963077,0.9326426470404167,ok,,
ACSF1,cpu_optimised_hydra,42,100,100,1460,10,0.9596929170074873,15.30265600000007,0.88,0.880341208947347,0.880341208947347,ok,,
Adiac,cpu_optimised_hydra,42,390,391,176,37,1.2795006670057774,12.566528000000062,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,,
AllGestureWiimoteX,cpu_optimised_hydra,42,300,700,500,10,1.5806964579969645,56.803327999999965,0.69,0.6926234050728715,0.6926234050728715,ok,,
AllGestureWiimoteY,cpu_optimised_hydra,42,300,700,500,10,1.5677138339960948,-3.8010880000001634,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,
AllGestureWiimoteZ,cpu_optimised_hydra,42,300,700,500,10,1.5941104580124374,-54.57510400000001,0.6785714285714286,0.6742459262264614,0.6742459262264614,ok,,
ArrowHead,cpu_optimised_hydra,42,36,175,251,3,0.5195175420085434,7.766015999999809,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,,
Beef,cpu_optimised_hydra,42,30,30,470,5,0.08601837500464171,0.06553600000006554,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,,
BeetleFly,cpu_optimised_hydra,42,20,20,512,2,0.0661401660181582,-0.2621439999998074,0.9,0.898989898989899,0.898989898989899,ok,,
